digitizer,database,DOI,first_authour,journal,species,publication_date,census_date,projection_interval,life_cycle_diagram,matrix_presence,vital_rate_calculations,latitude_longitude,location,population_vectors
1,Comadre,10.2307/1941498,Tinkle,Ecology,Chrysemys picta,1981,1,1,0,1,1,0,1,0
1,Comadre,10.1016/j.ecolmodel.2010.06.026,Wiederholt,Ecological Modelling,Alouatta seniculus,2010,1,1,0,1,1,1,1,1
1,Comadre,10.1111/j.1365-2664.2005.01067.x,Novaro,Journal of Applied Ecology,Pseudalopex culpaeus ,2005,1,1,0,1,1,1,1,1
1,Comadre,10.1007/s00338-015-1341-8),Mercado-Molina,Coral Reefs,Acropora cervicornis ,2015,1,1,0,1,1,1,1,0
1,Compadre,10.1016/j.foreco.2016.03.028,Aschero,Forest Ecology and Management,Prosopis flexuosa ,2016,1,1,1,1,1,1,1,0
1,Compadre,10.1007/s10144-014-0438-1,Stephens,Population Ecology,Chamaecrista fasciculata/Balduina angustifolia ,2014,1,1,1,1,1,0,1,0
1,Comadre,10.1046/j.1523-1739.2001.0150041102.x,Hokit,Conservation Biology,Sceloporus woodi,2001,1,1,0,1,1,0,1,0
1,Comadre,10.2307/3808459,Payne,Journal of Wildlife Management,Castor canadensis,1984,1,1,0,1,1,0,1,1
1,Compadre,10.1016/S1872-2032(08)60021-9,Zhongjian,Acta Ecologica Sinica,Cypripedium lentiginosum ,2008,0,1,0,1,1,1,1,1
1,Compadre,10.1890/04-1483,Koop,Ecology,Ardisia elliptica ,2005,1,,1,1,1,0,1,0
1,Comadre,10.3354/esr00835,Pinya,Endangered Species Research,Alytes muletensis,2017,1,1,1,1,1,0,1,0
1,Compadre,10.1034/j.1600-0706.2003.11493.x,Gustafsson,Oikos,Sanicula europaea,2003,1,1,0,1,1,0,1,0
1,Comadre,10.1016/j.ecolmodel.2017.02.001,Oli,Ecological Modelling,Dasypus novemcinctus,2017,1,1,1,0,1,1,1,0
1,Comadre,10.1016/j.biocon.2007.01.015,Hilderbrand,Biological Conservation,Sciurus niger cinereus ,2007,0,1,0,1,1,0,1,0
1,Comadre,10.2307/1369293,Massey,The Condor,Sterna antillarum browni,1992,1,1,0,1,1,0,1,0
1,Compadre,10.2307/2387694,Bullock,Biotropica,Podococcus barteri ,1980,1,1,0,1,1,1,1,0
1,Comadre,10.1016/S0025-5564(02)00119-0,Yearsley,Mathematical Biosciences,Puffinus tenuirostris ,2002,0,1,1,1,1,0,0,1
1,Compadre,10.1016/j.biocon.2005.02.001,Adams,Biological Conservation,Helenium virginicum ,2005,1,1,0,1,1,0,1,0
1,Compadre,10.1007/978-94-009-2049-1_27,Ang,Hydrobiologia,Iridaea splendens ,1990,0,1,0,1,1,0,1,0
1,Comadre,10.1007/s10144-008-0075-7,Ripley,Population Ecology,Adamussium colbecki/Arctica islandica/Geukensia demissa/Gemma gemma/Lasaea rubra/Lissarca miliaris/Lissarca notorcadensis/Panope abrupta/Tridacna gigas/Yoldia notabilis ,2008,0,1,0,1,1,0,0,0
1,Compadre,10.2307/2426148,Keeler,The American Midland Naturalist,Ipomoea leptophylla,1991,1,1,0,1,1,0,1,1
1,Compadre,10.1071/BT06032,Yates,Australian Journal of Botany,Verticordia staminosa,2007,1,1,1,1,1,0,1,0
1,Comadre,10.1016/j.biocon.2004.01.029,Gerber,Biological Conservation,Orcinus orca/Diomedea exulans/Eschrichtius robustus/Triakis semifasciata/Balaenoptera borealis/Caretta caretta/Lepidochelys kempii/Phoca vitulina .Eumetopias jubatus/Littorina/Enhydra lutrisÂ nereis,2004,0,1,0,1,1,0,1,0
1,Compadre,10.2307/2261662,Svensson,Journal of Ecology,Pinguicula alpina/Pinguicula villosa/Pinguicula vulgaris,1993,1,1,1,1,1,1,1,1
1,Compadre,10.1046/j.1523-1739.1996.10010040.x,Ratsirarson,Conservation Biology,Neodypsts decaryi,1996,1,1,0,1,1,1,1,0
1,Compadre,10.1111/j.1365-2745.2006.01115.x,Elderd,Journal of Ecology,Mimulus guttatus,2006,1,1,0,1,1,1,1,0
1,Comadre,10.1163/156853808784124992,Rojas-Gonzalez,Amphibia-Reptilia,Xenosaurus platyceps,2008,1,1,0,1,1,0,1,1
1,Comadre,10.1016/j.jhevol.2004.08.006,Wich,Journal of Human Evolution,Pongo abelii,2004,1,1,0,1,1,1,1,1
1,Comadre,10.1007/s10144-015-0499-9,Strauss,Population Ecology,Giraffa camelopardalis ,2015,1,1,1,1,1,0,1,1
1,Comadre,10.1111/evo.12952,Kvalnes,Evolution ,Alces alces,2016,1,1,0,1,1,1,1,1
1,Compadre,10.1111/j.1365-2745.2006.01147.x,Colling,Journal of Ecology,Scorzonera humilis ,2006,1,1,0,1,1,0,1,1
1,Compadre,10.1111/1365-2664.13112,Andrello,Journal of Applied Ecology,Eryngium alpinum ,2018,1,1,0,1,1,1,1,0
1,Comadre,10.1016/j.envpol.2013.08.031,Salice,Environmental Pollution,Chelydra serpentina ,2014,0,1,1,1,1,0,1,0
1,Compadre,10.1016/j.biocon.2017.04.019,Hens,Biological Conservation,Epipactis atrorubens ,2017,1,1,1,1,1,1,1,1
1,Comadre,10.1080/11956860.2001.11682641,Ericsson,Ecoscience,Alces alces,2001,1,1,0,1,1,1,1,1
1,Compadre,10.1046/j.1523-1739.1996.10020608.x,Nantel,Conservation Biology,Panax quincefolium/Allium tricoccum,1996,1,1,0,1,1,0,1,0
1,Comadre,10.2193/2006-146,Blackwell,The Journal of Wildlife Management ,Coragyps atratus,2007,1,1,0,1,1,1,1,1
1,Comadre,10.1002/jwmg.628,Chastant,The Journal of Wildlife Management ,Phalacrocorax auritus,2014,1,1,0,1,1,0,1,0
1,Compadre,10.1007/s10144-013-0364-7,Osunkoya,Population Ecology,Lantana camara ,2013,1,1,1,1,1,1,1,1
1,Comadre,10.2307/1935638,Caughley,Ecology,Hemitragus jemlahicus,1966,1,1,0,1,1,0,1,1
1,Comadre,10.1086/587530,Hartemink,The American Naturalist,Ixodes ricinus,2008,0,1,0,1,1,0,0,0
1,Comadre,10.1890/09-1641,Hunter,Ecology,Ursus maritimus ,2010,1,,1,1,1,1,1,1
1,Comadre,10.1023/B:EMAS.0000016881.12925.b1,Lawler,Environmental Monitoring and Assessment,Buteo lineatus/Accipiter gentilis,2004,0,0,0,0,0,0,1,0
1,Comadre,10.1111/j.1748-7692.1994.tb00388.x,York,Marine Mammal Science ,Eumetopias jubatus,1994,1,1,0,1,1,0,1,1
1,Compadre,10.1007/s11258-010-9749-2,Christensen,Plant Ecology,Hydrastis canadensis ,2010,1,1,1,1,1,0,1,1
1,Comadre,10.3398/1527-0904(2007)67[492:GADOOP]2.0.CO;2,Ortega-Leon,Western North American Naturalist,Sceloporus mucronatus mucronatus ,2007,1,1,1,1,1,1,1,1
1,Compadre,10.1890/13-1984.1,Haridas,Ecology,Opuntia macrorhiza ,2015,1,1,1,1,1,0,1,0
1,Compadre,10.1111/j.1523-1739.2006.00368.x,Lehtila,Conservation Biology,Primula veris ,2006,1,1,0,1,1,0,1,0
1,Compadre,10.1300/J091v23n01_05,Valverde,Journal of Sustainable Forestry ,Chamaedorea elegans ,2006,1,1,0,1,1,1,1,1
1,Comadre,10.2307/1939945,Clinton,Ecology,Mirounga angustirostris,1993,1,1,0,1,1,0,1,1
1,Comadre,10.1016/S0304-3800(99)00145-3,Carter,Ecological Modelling,Ailuropoda melanoleuca ,1999,0,1,0,1,1,0,1,0
1,Comadre,10.5253/078.100.0208,Bijlsma,Ardea,Pernis apivorus,2012,1,1,1,1,1,1,1,0
1,Compadre,10.3732/ajb.0900351,Bucharova,American Journal of Botany,Asplenium adulterinum/Asplenium cuneifolium ,2010,1,1,0,1,1,1,1,1
1,Compadre,10.1111/j.1442-9993.1982.tb01304.x,Enright,Australian Journal of Ecology,Araucaria hunsteinii,1982,0,0,0,0,0,0,1,0
1,Compadre,10.1007/s11258-014-0344-9,Scanga,Plant Ecology,Trollius laxus,2014,1,1,0,1,1,0,1,0
1,Compadre,10.1016/j.foreco.2013.05.049,Jackson,Forest Ecology and Management,Prosartes lanuginosa ,2013,1,1,1,1,1,0,1,1
1,Compadre,10.1046/j.1523-1739.1997.96159.x,Maschinski,Conservation Biology,Astragalus cremnophylax ,1997,1,1,0,1,1,0,1,0
1,Compadre,10.2307/2261672,Bengtsson,Journal of Ecology,Fumana procumben ,1993,1,1,0,1,1,1,1,0
1,Comadre,10.1016/j.jnc.2013.06.002,Unger,Journal for Nature Conservation,Cryptobranchus alleganiensis alleganiensis ,2013,1,1,1,1,1,0,1,1
1,Comadre,10.1080/20018091094835,Gleason,Human and Ecological Risk Assessment: An International Journal ,Pimephales promelas/Alcedo atthis/Sterna antillarum browni ,2001,0,1,1,1,1,0,0,0
1,Compadre,10.3719/weed.50.60,Westerman,Weed Science,Abutilon theophrasti,2005,1,1,0,1,1,0,1,0
1,Comadre,10.1163/157075610X523260,Klok,Animal Biology,Anser anser,2010,1,1,1,1,1,1,1,0
1,Comadre,10.1007/BF00390542,Brousseau,Marine Biology,Mya arenaria,1978,1,1,0,1,1,1,1,1
1,Comadre,10.1007/BF02765226,Yoccoz,Researches on Population Ecology,Clethrionomys rufocanus,1998,1,1,0,1,1,1,1,0
1,Comadre,10.1655/HERPETOLOGICA-D-12-00038R2,Perez-Mendoza,Herpetologica,Sceloporus grammicus,2013,1,1,0,1,1,1,1,1
1,Compadre,10.1890/04-1952,Pfifster,Ecology,Alaria nana,2005,1,1,1,1,1,1,1,0
1,Compadre,10.1111/j.1654-1103.2004.tb02286.x,Hara,Journal of Vegetation Science ,Hydrangea paniculata/Lindera umbellata var. membranacea/Magnolia salicifolia/Viburnum furcatum ,2004,1,1,1,1,1,1,1,1
1,Comadre,10.2192/1537-6176-20.1.12,Kohira,Ursus,Ursus arctos yesoensis,2009,1,1,0,1,1,1,1,1
1,Comadre,10.4039/Ent1051465-11,Berryman,The Canadian Entomologist,Scolytus ventralis,1973,1,1,0,1,0,0,1,1
1,Compadre,10.1111/j.1523-1739.2008.01073.x,Pathikonda ,Conservation Biology,Iris hexagona/Iris psuedacorus,2008,0,1,1,1,1,0,0,0
1,Compadre,10.1111/j.1365-2745.2011.01910.x,Bullock,Journal of Ecology,Himantoglossum hircinum/Cirsium acaule/Erica ciliaris/Conyza canadensis/Lactuca serriola/Ailanthus altissima ,2012,0,1,0,1,1,0,0,0
1,Comadre,10.2307/1940983,McFadden,Ecology,Alcyonium sp. ,1991,1,1,0,1,1,1,1,1
1,Compadre,10.1007/s11258-011-9906-2,Evju,Plant Ecology,Geranium sylvaticum ,2011,1,1,1,1,1,1,1,1
1,Compadre,10.1007/s12231-014-9295-2,Torres,Economic Botany,Agave potatorum ,2015,0,1,0,1,1,0,1,1
1,Compadre,10.1890/ES11-00328.1,Shefferson,Ecosphere,Cypripedium calceolus/Cephalanthera longifolia ,2012,1,1,0,1,1,0,1,1
1,Comadre,10.1371/jourNAl.pone.0034379,Hostetler,PLoS ONE,Callospermophilus lateralis ,2012,1,1,0,1,1,1,1,0
1,Comadre,10.1016/j.jas.2012.04.037,Monchot,Journal of Archaeological Science,Hystrix refossa ,2012,0,1,1,1,1,0,1,1
1,Comadre,10.1007/s10764-009-9332-7,Isbell,International Journal of Primatology,Erythrocebus patas/Cercopithecus aethiops ,2009,1,1,0,1,1,1,1,1
1,Compadre,10.1093/aob/mcp188,Winkler,Annals of Botany,Jacquiniella leucomelana/Jacquiniella teretifolia/Lycaste aromatica ,2009,1,1,0,1,1,1,1,0
1,Compadre,10.2307/2445615,Lesica,American Journal of Botany,Arabis fecunda,1995,1,1,0,1,1,0,1,0
1,Compadre,10.1111/j.1469-8137.1984.tb03596.x,Boorman,New Phytologist Trust,Lactuca virosa/Cynoglossum officinale ,1984,1,1,1,1,1,0,1,1
1,Comadre,10.1093/jme/tjw021,Hanly,Journal of Medical Entomology,Aedes triseriatus,2016,1,1,1,1,1,0,1,0
1,Comadre,10.1046/j.1523-1739.2002.00433.x,Biek,Conservation Biology,Bufo boreas/Rana aurora/Rana temporaria ,2002,0,1,0,1,1,0,0,0
1,Comadre,10.1111/j.1365-2664.2012.02160.x,Gamelon,Journal of Applied Ecology,Sus scrofa scrofa,2012,1,1,1,1,1,1,1,0
1,Compadre,10.1890/09-0750,Prevey,Ecological Applications,Tragopogon dubius and Lactuca serriola ,2010,1,1,1,1,1,1,1,0
1,Compadre,10.1046/j.1442-1984.1999.00007.x,Kaneko,Plant Species Biology,Aesculus turbinata ,1999,1,1,1,1,1,1,1,1
1,Comadre,10.2307/3546090,Nakaoka,Oikos,Yoldia notabilis,1997,0,1,0,1,1,0,1,0
1,Compadre,10.1086/284796,Solbrig,The American Naturalist,Viola fimbriatula,1988,0,1,1,1,1,0,0,1
1,Compadre,10.1007/s11258-007-9393-7,Abe,Plant Ecology,Stachyurus macrocarpus,2008,1,1,0,1,1,0,1,1
1,Compadre,10.1007/s10530-004-5572-9,Hyatt,Biological Invasions,Polygonum perfoliatum ,2006,1,1,1,1,1,0,1,0
1,Compadre,10.1111/aec.12045,Enright,Austral Ecology,Araucaria muelleri ,2014,1,1,0,1,1,1,1,0
1,Comadre,10.1007/s10144-011-0292-3,Hyslop,Population Ecology,Drymarchon couperi ,2012,1,1,1,1,1,0,1,0
1,Comadre,10.2307/1381947,Luo,Journal of Mammalogy,Spermophilus dauricus/Spermophilus columbianus,1990,1,1,0,1,1,1,1,1
1,Compadre,10.1111/1365-2664.12057,Matlaga,Journal of Applied Ecology,Miscanthus giganteus ,2013,0,1,1,1,1,0,0,0
1,Comadre,978-1-4939-0697-0,Lizcano,Developments in Primatology: Progress and Prospects,Lagothrix,2014,1,1,1,1,1,0,1,0
1,Compadre,10.1016/j.biocon.2004.03.019,Ticktin,Biological Conservation,Aechmea magdalenae ,2004,1,1,0,1,1,0,1,0
1,Compadre,10.1646/1601,Mendez,Biotropica,Pterocereus gaumeri ,2004,1,1,0,1,1,1,1,1
1,Compadre,10.1111/gcb.12167,Sletvold,Global Change Biology,Dactylorhiza lapponica ,2013,1,1,0,1,1,1,1,0
1,Compadre,10.1007/s00442-012-2301-4,Shriver,Oecologia,Vulpicida pinastri,2012,1,1,0,1,1,0,1,0
1,Comadre,10.2307/2404820,Marboutin,Journal of Applied Ecology,Lepus europaeus,1995,1,1,0,1,1,0,1,1
1,Compadre,10.1046/j.1365-2664.2003.00842.x,Freckleton,Journal of Applied Ecology,Euterpe edulis ,2003,0,1,0,1,1,0,0,1
1,Comadre,10.1016/S0304-3800(01)00433-1,Chaloupka,Ecological Modelling,Chelonia mydas,2002,0,1,1,1,1,0,1,1
1,Comadre,10.3354/meps10547,New,Marine Ecology Progress Series ,Mirounga leonina ,2014,1,1,0,1,1,0,1,0
1,Comadre,10.1016/j.ecolmodel.2017.07.023,Maestri,Ecological Modelling,Ara glaucogularis ,2017,1,1,1,1,1,0,1,1
1,Compadre,10.1023/B:VEGE.0000046052.35390.59,Godinez-Alvarez,Plant Ecology,Neobuxbaumia macrocephala,2004,1,1,0,1,1,1,1,1
1,Comadre,10.2307/3801764,Van Sickle,Journal of Wildlife Management,Kobus ellipsiprymnus,1987,0,1,0,1,1,0,1,1
1,Compadre,10.1007/s00442-008-0980-7,Verhulst,Oecologia,Atriplex canescens/Atriplex acanthocarpa ,2008,1,1,0,1,1,1,1,0
1,Comadre,10.1016/j.ecolmodel.2014.08.021,Lewis,Ecological Modelling,Ursus americanus,2014,1,1,1,1,1,0,1,0
1,Comadre,10.1126/science.275.5298.389,Costantino,Science,Tribolium,1997,0,0,0,1,1,0,0,0
1,Comadre,10.1016/j.ecss.2015.11.012,Tomlinson,"Estuarine, Coastal and Shelf Science",Pelagia noctiluca ,2018,1,1,1,1,1,1,1,1
1,Compadre,https://doi.org/10.1002/ecs2.2706,Werner,Ecosphere,Eucalyptus tetrodonta/Eucalyptus miniata ,2019,1,1,1,1,1,1,1,0
1,Comadre,10.1643/CE-14-191,Paez,Copeia,Podocnemis lewyana ,2015,1,1,1,1,1,0,1,1
1,Compadre,10.1111/j.1365-2664.2012.02117.x,Dauer,Journal of Applied Ecology,Jacobaea vulgaris ,2012,1,1,1,1,1,0,0,0
1,Comadre,10.1890/0012-9658(2002)083[2194:PDCOPI]2.0.CO;2,Bronikowski,Ecology,Poecilia reticulata,2002,1,1,1,1,1,0,0,0
1,Comadre,10.1007/s11252-016-0566-9,Makenov,Urban Ecosystems,Canis familiaris ,2016,1,1,0,1,1,0,1,1
1,Compadre,10.2216/i0031-8884-25-1-11.1,De Wreede,Phycologia,Pterygophora californica ,1986,1,1,0,1,1,0,1,1
1,Comadre,10.1890/02-5010,Schumaker,Ecological Applications,Poecile atricapillus/Dendragapus obscurus/Lynx rufus/Accipiter cooperii/Canis latrans/Tamiasciurus douglasii/Perisoreus canadensis/Bubo virginianus/Cistothorus palustris/Zenaida macroura/Accipiter gentilis/Strix occidentalis caurina/Dryocopus pileatus/Procyon lotor/Vulpes vulpes/Buteo jamaicensis/Sturnella neglecta ,2004,0,1,0,1,1,0,1,0
1,Compadre,10.1016/j.baae.2015.02.009,Silva,Basic and Applied Ecology,Sonchus pustulatus,2015,1,1,0,1,1,1,1,1
1,Compadre,10.1034/j.1600-0587.2002.250211.x,Berg ,Ecography,Oxalis acetosella ,2002,1,1,0,1,1,1,1,1
1,Compadre,10.1007/s10144-017-0572-7,Hernandez-Pedrero,Population Ecology,Furcraea parmentieri ,2017,1,1,0,1,1,1,1,1
1,Comadre,10.1002/wmon.1012,Howerter,Wildlife Monographs,Anas platyrhynchos ,2014,1,1,0,1,1,0,1,1
1,Comadre,10.1139/Z03-045,Mitro,Canadian Journal of Zoology,Malaclemys terrapin ,2003,1,1,0,1,1,0,1,1
1,Comadre,10.1676/12-154.1,Bulluck,The Wilson Journal of Ornithology ,Vermivora chrysopter,2013,1,1,0,1,1,0,1,0
1,Compadre,10.1111/plb.12007,Munzbergova,Plant Biology,Linum flavum/Linum tenuifolium ,2013,1,1,0,1,1,0,1,0
1,Compadre,10.1111/j.1442-9993.2006.01650.x,Souza,Austral Ecology,Geonoma brevispatha ,2006,1,1,1,1,1,1,1,0
1,Compadre,10.1098/rspb.2018.1091,Pantoja,Proceedings of the Royal Society B,Mimulus guttatus ,2018,1,1,0,1,1,1,1,1
1,Compadre,10.1002/ece3.2163,Lin,Ecology and Evolution,Dicentra canadensis ,2016,1,1,1,1,1,1,1,1
1,Compadre,10.1890/11-0948.1,Bricker,Ecology,Lithospermum ruderale ,2012,1,1,1,1,1,0,1,1
1,Compadre,10.1111/j.1523-1739.2004.00567.x,Kwit,Conservation Biology,Taxus floridana ,2004,1,1,1,1,1,0,1,0
1,Compadre,10.1007/978-94-017-1345-0_12,Tolvanen,Evolutionary Ecology,Salix arctica ,2002,1,1,1,1,1,1,1,1
1,Compadre,10.1007/s11258-010-9737-6,Martinez,Plant Ecology,Mammillaria huitzilopochtli,2010,1,1,1,1,1,1,1,1
1,Comadre,10.1071/WR10080,Chambers,Wildlife Research,Macropus eugenii,2010,1,1,1,1,1,1,1,0
1,Compadre,10.2307/2261390,Bullock,Journal of Ecology,Cirsium vulgare ,1994,1,1,1,1,1,0,1,0
1,Compadre,10.2307/1936930,Werner,Ecology,Dipsacus sylvestris,1977,1,1,0,1,1,0,1,1
1,Comadre,10.1890/0012-9658(2001)082[1921:EODROU]2.0.CO;2,Oli,Ecology,Spermophilus armatus,2001,1,1,1,1,1,0,1,0
1,Compadre,10.1086/285599,Alvarez-Buylla,The American Naturalist,Cecropia obtiisifoli ,1994,1,1,1,1,1,1,1,1
1,Comadre,10.1139/cjfas-2012-0520,Fujiwara,Canadian Journal of Fisheries and Aquatic Sciences,Epinephelus morio ,2013,0,1,1,1,1,0,0,0
1,Comadre,10.2307/3802460,Maguire,The Journal of Wildlife Management ,Picoides borealis,1995,1,1,0,1,1,0,1,0
1,Comadre,10.1016/S0304-3800(99)00039-3,Cropper,Ecological Modelling,Spongia graminea ,1999,1,1,0,1,1,0,1,1
1,Comadre,10.1642/0004-8038(2004)121[0015:MEOSAP]2.0.CO;2,Jones,The Auk,Dendroica cerulea ,2004,1,1,0,1,1,1,1,1
1,Compadre,10.3398/064.077.0108,Hill,Western North American Naturalist,Silene spaldingii,2017,1,1,1,1,1,0,1,1
1,Compadre,10.1890/03-0119,Freville,Ecology,Centaurea corymbosa ,2004,1,1,1,1,1,0,1,0
1,Comadre,10.1017/S1367943004001593,Heinsohn,Animal Conservation,Dugong dungon,2004,1,0,0,0,1,0,1,0
1,Compadre,10.1111/1365-2745.12625,Capdevila,Journal of Ecology,Cystoseira zosteroides ,2016,1,1,1,1,1,1,1,0
1,Compadre,10.1111/j.1440-6055.2006.00556.x,Raghu,Australian Journal of Entomology,Parkinsonia aculeata ,2006,1,1,1,1,1,0,1,0
1,Compadre,10.1007/s10592-010-0056-1,Noel,Conservation Genetics,Brassica insularis ,2010,1,1,1,1,1,0,1,1
1,Compadre,10.1017/S0376892914000204,Wong,Environmental Conservation ,Alyxia stellata ,2015,1,1,1,1,1,1,1,0
1,Compadre,10.2307/2260308,Fiedler,Journal of Ecology,Calochortus obispoensis/Calochortus tiburonensis/Calochortus pulchellus/Calochortus albus ,1987,1,1,0,1,1,1,1,1
